stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,is_hub,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route
3948,2,0.0002390057361376673,0.033290197672527395,0.00018681668914727358,True,Bloor Station,43.648508,-79.505687,True,2,"149,300",
7341,4,0.0004780114722753346,0.03441199474915301,0.0017544121748137523,True,Bloor Station,43.649909,-79.499461,True,3,"149,300,66",
7644,2,0.0002390057361376673,0.03368375449166952,3.983905023704234e-06,True,Bloor Station,43.649571,-79.495659,True,2,"149,300",
40037,2,0.0002390057361376673,0.03455968938842322,8.042508266602923e-05,True,Bloor Station,43.647735,-79.489765,True,2,"149,300",
6461,3,0.0003585086042065009,0.0357814418836437,0.0007622833622295793,True,Bloor Station,43.648025,-79.485977,True,2,"149,300",
7550,2,0.0002390057361376673,0.024758504681426066,0.0010043690517400256,True,Humberwood Blvd at Arborwood Dr East Side,43.72349,-79.618315,False,2,"336,37",
1471,2,0.0002390057361376673,0.024169161786343846,0.0008848519010288987,True,Humberwood Blvd at Kingsplate Cres,43.723814,-79.616068,False,2,"336,37",
2662,3,0.0003585086042065009,0.02360862795270609,0.0007653347503177717,True,Humberwood Blvd at Hullrick Dr (South),43.722003,-79.613032,False,2,"336,37",
4854,2,0.0002390057361376673,0.023072610417594445,0.0003389307198916377,True,Woodbine Race Track Loop (Main Entrance),43.716054,-79.603623,False,1,37,
1602,2,0.0002390057361376673,0.022565462412249503,0.00021941356918051073,True,Queen's Plate Dr (West) at Rexdale Blvd North Side,43.720365,-79.602888,False,1,37,
5338,2,0.0002390057361376673,0.022090547374482454,0.00010404631953574224,True,Queen's Plate Dr West at Janda Crt,43.722765,-79.601547,False,1,37,
9163,2,0.0002390057361376673,0.021876575404386513,4.744166899061126e-05,True,Queen's Plate Dr at Highway 27,43.722629,-79.598612,False,1,37,
8669,2,0.0002390057361376673,0.022218167252276384,8.827669548357968e-05,True,Queen's Plate Dr (East) at Harness Rd South Side,43.720175,-79.594413,False,1,37,
7406,2,0.0002390057361376673,0.02265200354518116,0.0001779145585169249,True,Rexdale Blvd at Queen's Plate Dr (East) East Side,43.716232,-79.592005,False,1,37,
5965,2,0.0002390057361376673,0.02313486548113845,0.0002768481999389134,True,Rexdale Blvd at Precision Rd,43.715839,-79.59029,False,1,37,
8740,2,0.0002390057361376673,0.023659430905121,0.00038295287040356963,True,Rexdale Blvd at Tidemore Ave,43.714705,-79.585408,False,1,37,
19,2,0.0002390057361376673,0.024225858646243676,0.0004976893350862516,True,Rexdale Blvd at Martin Grove Rd,43.713759,-79.581288,False,1,37,
7139,2,0.0002390057361376673,0.024821995211730303,0.0006172064857973785,True,279 Rexdale Blvd,43.713344,-79.579382,False,1,37,
7891,2,0.0002390057361376673,0.025448521574445538,0.0007367236365085054,True,Opposite 230 Rexdale Blvd,43.712759,-79.576999,False,1,37,
177,2,0.0002390057361376673,0.02610782209014859,0.0008562407872196327,True,225 Rexdale Blvd,43.712216,-79.574622,False,1,37,
8907,2,0.0002390057361376673,0.02680253724594578,0.0009757579379307597,True,Rexdale Blvd at Brydon Dr,43.711516,-79.571654,False,1,37,
9554,2,0.0002390057361376673,0.027535599001958847,0.0010952750886418867,True,Kipling Station,43.71146,-79.567189,True,1,37,
239,2,0.0002390057361376673,0.02831027215090893,0.0012147922393530139,True,Rexdale Blvd at Frost St East Side,43.712262,-79.563763,False,1,37,
6049,2,0.0002390057361376673,0.02913020292604186,0.001334309390064141,True,Bergamot Ave at Rexdale Blvd North Side,43.713873,-79.559697,False,1,37,
8829,2,0.0002390057361376673,0.029999476383983325,0.0014538265407752682,True,Bergamot Ave at Islington Ave,43.716772,-79.556363,False,1,37,
2286,2,0.0002390057361376673,0.03485381255940209,0.00010477670212342139,True,34 Moore Park Ave,43.793262,-79.421983,False,1,97,
5953,2,0.0002390057361376673,0.0337911015364016,3.1871240189633878e-06,True,Moore Park Ave at Fargo Ave,43.792727,-79.424353,False,1,97,
8620,2,0.0002390057361376673,0.03401938344237209,1.7927572606669057e-05,True,Hilda Ave at Moore Park Ave North Side,43.792736,-79.427045,False,1,97,
1428,2,0.0002390057361376673,0.03519841593563824,0.00013624955181068484,True,Hilda Ave at Green Bush Rd,43.794365,-79.428403,False,1,97,
1201,2,0.0002390057361376673,0.03648285757705132,0.0002557667025218118,True,Hilda Ave at Steeles Ave West,43.795595,-79.429004,False,1,97,
4859,2,0.0002390057361376673,0.040244705222657814,0.0,True,Yonge St at Hendon Ave,43.781711,-79.416193,False,1,97,
5549,13,0.0015535372848948373,0.041928451945629434,0.0004998699477534398,True,Finch Station,43.779948,-79.415772,True,1,97,
7466,2,0.0002390057361376673,0.040239847309044376,0.00013634914943627744,True,Yonge St at Kempford Blvd,43.777066,-79.415018,False,1,97,
9498,2,0.0002390057361376673,0.03868234811336783,3.615393809011593e-05,True,Yonge St at Churchill Ave,43.773898,-79.414275,False,1,97,
5958,2,0.0002390057361376673,0.03850149929007148,3.426158320385642e-05,True,Yonge St at Ellerslie Ave,43.772295,-79.413801,False,1,97,
